old_name,new_id
Lakeview Ave & Fullerton Pkwy,313
Larrabee St & Armitage Ave,288
Larrabee St & Division St,359
Larrabee St & Kingsbury St,48
Larrabee St & Menomonee St,28
Larrabee St & North Ave,27
Larrabee St & Oak St,364
Larrabee St & Webster Ave,144
LaSalle Dr & Huron St,627
LaSalle St & Adams St,40
LaSalle St & Illinois St,181
LaSalle St & Jackson Blvd,283
LaSalle St & Washington St,98
Lawndale Ave & 111th St,730
Lawndale Ave & 16th St,362
Lawndale Ave & 30th St,1561012878716023346
Leavitt St & Addison St,492
Leavitt St & Archer Ave,9
Leavitt St & Armitage Ave,309
Leavitt St & Belmont Ave,664
Leavitt St & Chicago Ave,659
Leavitt St & Lawrence Ave,311
Leavitt St & North Ave,213
Lincoln Ave & Addison St,330
Lincoln Ave & Belle Plaine Ave,298
Lincoln Ave & Belmont Ave,131
Lincoln Ave & Diversey Pkwy,152
Lincoln Ave & Fullerton Ave,127
Lincoln Ave & Roscoe St,230
Lincoln Ave & Sunnyside Ave,243
Lincoln Ave & Waveland Ave,257
Lincoln Ave & Winona St,472
Lincoln Park Conservatory,673
Lincolnwood Dr & Central St,663
Logan Blvd & Elston Ave,258
Loomis Blvd & 84th St,687
Loomis St & 89th St,740
Loomis St & Archer Ave,366
Loomis St & Jackson Blvd,146
Loomis St & Lexington St,320
Major Taylor Trail & 115th St,713
Major Taylor Trail & 124th St,715
Manor Ave & Leland Ave,477
Maplewood Ave & Peterson Ave,455
Marine Dr & Ainslie St,465
Marquette Ave & 89th St,692
Maryland Ave & 104th St,1448642183732401788
May St & Cullerton St,171
May St & Taylor St,22
McClurg Ct & Erie St,142
McClurg Ct & Ohio St,99
McCormick Place,62
Michigan Ave & 114th St,709
Michigan Ave & 14th St,168
Michigan Ave & 18th St,273
Michigan Ave & Ida B Wells Dr,45
Michigan Ave & Jackson Blvd,284
Michigan Ave & Lake St,52
Michigan Ave & Madison St,197
Michigan Ave & Oak St,85
Michigan Ave & Pearson St,25
Michigan Ave & Washington St,43
Mies van der Rohe Way & Chestnut St,145
Mies van der Rohe Way & Chicago Ave,173
Millard Ave & 26th St,443
Millennium Park,90
Milwaukee Ave & Cuyler Ave,589
Milwaukee Ave & Grand Ave,84
Milwaukee Ave & Rockwell St,222
Milwaukee Ave & Wabansia Ave,158
MLK Jr Dr & 29th St,237
MLK Jr Dr & 47th St,200
MLK Jr Dr & 56th St,421
MLK Jr Dr & 63rd St,430
MLK Jr Dr & Pershing Rd,179
Monticello Ave & Irving Park Rd,484
Montrose Harbor,249
Morgan Ave & 14th Pl,137
Morgan St & 18th St,14
Morgan St & 31st St,280
Morgan St & Lake St,71
Morgan St & Pershing Rd,548
Morgan St & Polk St,241
Museum of Science and Industry,424
N Carpenter St & W Lake St,1436495105198659246
N Clark St & W Elm St,176
N Damen Ave & W Chicago Ave,1436495119852630436
N Damen Ave & W Wabansia St,1521686986436309688
N Green St & W Lake St,1436495109493626546
N Hampden Ct & W Diversey Ave,1521690221159885714
N Paulina St & Lincoln Ave,1436495122378528446
N Sheffield Ave & W Wellington Ave,115
N Shore Channel Trail & Argyle Ave,1594046439642845944
N Southport Ave & W Newport Ave,1436495115557663136
Narragansett Ave & School St,1571105050820616196
New St & Illinois St,26
Noble St & Milwaukee Ave,29
Normal Ave & Archer Ave,209
Oakley Ave & Irving Park Rd,486
Oakley Ave & Touhy Ave,526
Ogden Ave & Chicago Ave,54
Ogden Ave & Congress Pkwy,122
Ogden Ave & Race Ave,186
Ogden Ave & Roosevelt Rd,434
Oglesby Ave & 100th St,697
Olive Harvey College,748
Orleans St & Elm St,23
Orleans St & Merchandise Mart Plaza,100
Paulina Ave & North Ave,16
Paulina St & 18th St,205
Paulina St & Flournoy St,383
Paulina St & Montrose Ave,297
Peoria St & Jackson Blvd,134
Perry Ave & 69th St,392
Pine Grove Ave & Irving Park Rd,254
Pine Grove Ave & Waveland Ave,232
Ping Tom Park (East),1500206163166594382
Prairie Ave & 43rd St,410
Prairie Ave & Garfield Blvd,204
Princeton Ave & 47th St,412
Princeton Ave & Garfield Blvd,385
Prospect Sq & 91st St,684
Pulaski Rd & 21st St,1561012874421056044
Pulaski Rd & Eddy St (Temp),488
Racine Ave & 13th St,136
Racine Ave & 15th St,274
Racine Ave & 18th St,15
Racine Ave & 35th St,367
Racine Ave & Belmont Ave,226
Racine Ave & Congress Pkwy,32
Racine Ave & Fullerton Ave,87
Racine Ave & Randolph St,88
Racine Ave & Wrightwood Ave,343
Rainbow Beach,398
Ravenswood Ave & Berteau Ave,314
