id,name
KA1503000014,Ellis Ave & 60th St
KA1503000015,Wabash Ave & Adams St
KA1503000018,Jeffery Blvd & 71st St
KA1503000019,Stony Island Ave & 75th St
KA1503000020,South Shore Dr & 74th St
KA1503000021,Stony Island Ave & 64th St
KA1503000022,Clark St & Montrose Ave
KA1503000023,Stony Island Ave & 67th St
KA1503000024,Yates Blvd & 75th St
KA1503000025,Wentworth Ave & 63rd St
KA1503000027,Prairie Ave & 43rd St
KA1503000028,Jeffery Blvd & 76th St
KA1503000029,South Shore Dr & 67th St
KA1503000030,Jeffery Blvd & 67th St
KA1503000031,Cottage Grove Ave & 67th St
KA1503000032,Union Ave & Root St
KA1503000033,Eberhart Ave & 61st St
KA1503000034,LaSalle St & Adams St
KA1503000038,Shields Ave & 31st St
KA1503000040,Loomis St & Archer Ave
KA1503000041,McClurg Ct & Erie St
KA1503000043,Kingsbury St & Kinzie St
KA1503000044,Rush St & Hubbard St
KA1503000045,Stony Island Ave & 71st St
KA1503000046,Dorchester Ave & 63rd St
KA1503000047,Perry Ave & 69th St
KA1503000049,Rainbow Beach
KA1503000051,Halsted St & 47th Pl
KA1503000052,Ellis Ave & 53rd St
KA1503000053,MLK Jr Dr & 63rd St
KA1503000054,Cottage Grove Ave & 63rd St
KA1503000055,Halsted & 63rd - Kennedy-King Vaccination Site
KA1503000055,Halsted St & 63rd St
KA1503000059,Lake Park Ave & 53rd St
KA1503000064,Dusable Harbor
KA1503000065,Woodlawn Ave & Lake Park Ave
KA1503000066,Wood St & 35th St
KA1503000068,Leavitt St & Archer Ave
KA1503000069,Dorchester Ave & 49th St
KA1503000070,Harper Ave & 59th St
KA1503000071,University Ave & 57th St
KA1503000072,Wacker Dr & Washington St
KA1503000073,MLK Jr Dr & 56th St
KA1503000074,Museum of Science and Industry
KA1503000075,DuSable Museum
KA1504000076,Ellis Ave & 55th St
KA1504000078,Lincoln Ave & Winona St
KA1504000079,Larrabee St & Division St
KA1504000080,Washtenaw Ave & Lawrence Ave
KA1504000082,Kedzie Ave & Harrison St
KA1504000086,Kedzie Ave & 24th St
KA1504000090,St. Louis Ave & Fullerton Ave
KA1504000091,Hoyne Ave & 47th St
KA1504000093,Rockwell St & Eastwood Ave
KA1504000096,Sawyer Ave & Irving Park Rd
KA1504000097,Drake Ave & Montrose Ave
KA150400009X,Kimball Ave & Belmont Ave
KA1504000101,Ogden Ave & Roosevelt Rd
KA1504000102,Fairfield Ave & Roosevelt Rd
KA1504000103,Western Ave & Walton St
KA1504000104,Paulina St & Flournoy St
KA1504000106,Kedzie Ave & Lake St
KA1504000109,Washtenaw Ave & Ogden Ave
KA1504000110,Millard Ave & 26th St
KA1504000113,Sacramento Blvd & Franklin Blvd
KA1504000114,Kedzie Ave & Chicago Ave
KA1504000116,Larrabee St & Oak St
KA1504000117,Halsted St & North Branch St
KA1504000126,Kedzie Ave & Leland Ave
KA1504000127,Manor Ave & Leland Ave
KA1504000128,Kedzie Ave & Foster Ave
KA1504000129,Western Ave & Granville Ave
KA1504000130,Maplewood Ave & Peterson Ave
KA1504000133,Rush St & Cedar St
KA1504000134,Ritchie Ct & Banks St
KA1504000135,Wells St & Elm St
KA1504000139,Monticello Ave & Irving Park Rd
KA1504000140,Winchester Ave & Elston Ave
KA1504000141,Pulaski Rd & Eddy St (Temp)
KA1504000142,Drake Ave & Addison St
KA1504000143,Leavitt St & Addison St
KA1504000146,Clark St & Berwyn Ave
KA1504000147,Winchester (Ravenswood) Ave & Balmoral Ave
KA1504000148,Clark St & Elmdale Ave
KA1504000149,Damen Ave & Foster Ave
KA1504000151,Clark St & Bryn Mawr Ave
KA1504000152,Lakefront Trail & Bryn Mawr Ave
KA1504000155,2112 W Peterson Ave
KA1504000156,Clark St & Schreiber Ave
KA1504000158,Oakley Ave & Irving Park Rd
KA1504000159,Sheridan Rd & Greenleaf Ave
KA1504000160,Francisco Ave & Foster Ave
KA1504000161,St. Louis Ave & Balmoral Ave
KA1504000162,Clark St & Lunt Ave
KA1504000164,Keystone Ave & Montrose Ave
KA1504000167,Kedzie Ave & Bryn Mawr Ave
KA1504000168,Western & 28th - Velasquez Institute Vaccination Site
KA1504000168,Western Ave & 28th St
KA1504000171,Marine Dr & Ainslie St
KA1504000175,Glenwood Ave & Morse Ave
KA17018054,Damen Ave & Walnut (Lake) St
KA17018068,Leavitt St & Belmont Ave
KA1706005007,Delano Ct & Roosevelt Rd
KA1706005015,Kildare Ave & Montrose Ave
KP1705001026,LaSalle Dr & Huron St
LF-005,DuSable Lake Shore Dr & North Blvd
LF-005,Lake Shore Dr & North Blvd
LP-,Lincoln Park Conservatory
NULL,hubbard_test_lws
NULL,N Clark St & W Elm St
NULL,S Michigan Ave & E 118th St
NULL,W Armitage Ave & N Sheffield Ave
NULL,W Oakdale Ave & N Broadway
NULL,NULL
RN-,Franklin St & Illinois St
RP-001,Warren Park West
RP-002,Warren Park East
RP-004,Oakley Ave & Touhy Ave
RP-005,Western Ave & Lunt Ave
RP-006,Ridge Blvd & Touhy Ave
RP-007,Clark St & Touhy Ave
RP-008,Clark St & Columbia Ave
RP-009,Sheridan Rd & Loyola Ave
SL-005,Indiana Ave & Roosevelt Rd
SL-006,Wells St & 19th St
SL-007,State St & Harrison St
SL-008,Federal St & Polk St
SL-009,Clark St & 9th St (AMLI)
SL-010,Financial Pl & Ida B Wells Dr
SL-011,Wells St & Polk St
SL-012,Wabash Ave & 16th St
SL-013,State St & 19th St
TA1305000001,Wabash Ave & Cermak Rd
TA1305000002,Wabash Ave & Roosevelt Rd
TA1305000003,Fairbanks Ct & Grand Ave
TA1305000004,McCormick Place
TA1305000005,Dearborn St & Adams St
TA1305000006,Dearborn St & Monroe St
TA1305000009,Clark St & Ida B Wells Dr
TA1305000010,Michigan Ave & Ida B Wells Dr
TA1305000011,Michigan Ave & Lake St
TA1305000014,Clark St & Wrightwood Ave
TA1305000017,Halsted St & Roosevelt Rd
TA1305000020,Ogden Ave & Chicago Ave
TA1305000022,Orleans St & Merchandise Mart Plaza
TA1305000025,Franklin St & Jackson Blvd
TA1305000029,State St & Randolph St
TA1305000030,Clark St & Randolph St
TA1305000032,Clinton St & Madison St
TA1305000034,Honore St & Division St
TA1305000035,State St & Van Buren St
TA1305000037,Paulina Ave & North Ave
TA1305000039,Elston Ave & Cortland St
TA1305000039,Marshfield Ave & Cortland St
TA1305000041,Damen Ave & Pierce Ave
TA1306000002,Morgan Ave & 14th Pl
TA1306000003,Desplaines St & Kinzie St
TA1306000006,Orleans St & Elm St
TA1306000007,Larrabee St & Menomonee St
TA1306000008,Larrabee St & North Ave
TA1306000009,Larrabee St & Kingsbury St
TA1306000010,Daley Center Plaza
TA1306000011,Wells St & Walton St
TA1306000012,Wells St & Huron St
TA1306000013,New St & Illinois St
TA1306000014,Wilton Ave & Diversey Pkwy
TA1306000015,Morgan St & Lake St
TA1306000016,Sheffield Ave & Fullerton Ave
TA1306000025,Racine Ave & Congress Pkwy
TA1306000026,Racine Ave & Fullerton Ave
TA1306000029,DuSable Lake Shore Dr & Ohio St
TA1306000029,Lake Shore Dr & Ohio St
TA1306000029,McClurg Ct & Ohio St
TA1306000032,Sheffield Ave & Willow St
TA1307000001,Greenview Ave & Fullerton Ave
TA1307000005,Indiana Ave & 26th St
TA1307000006,Southport Ave & Wellington Ave
TA1307000038,Sedgwick St & North Ave
TA1307000039,Clark St & Elm St
TA1307000041,DuSable Lake Shore Dr & Wellington Ave
TA1307000041,Lake Shore Dr & Wellington Ave
TA1307000044,Clinton St & 18th St
TA1307000048,Fort Dearborn Dr & 31st St
TA1307000052,Sheffield Ave & Wellington Ave
TA1307000061,State St & Pearson St
TA1307000062,Sedgwick St & Huron St
TA1307000064,Lincoln Ave & Diversey Pkwy
TA1307000066,Damen Ave & Coulter St
TA1307000070,Damen Ave & Thomas St (Augusta Blvd)
TA1307000107,Sheridan Rd & Montrose Ave
TA1307000111,Franklin St & Lake St
TA1307000113,Southport Ave & Wrightwood Ave
TA1307000115,Clybourn Ave & Division St
TA1307000117,Wabash Ave & Grand Ave
TA1307000119,Clarendon Ave & Leland Ave
TA1307000120,Green St & Madison St
TA1307000121,Halsted St & Polk St
TA1307000124,Michigan Ave & 14th St
TA1307000126,Sheffield Ave & Waveland Ave
TA1307000127,Clark St & Grace St
TA1307000128,Dearborn Pkwy & Delaware Pl
TA1307000129,State St & 35th St
TA1307000130,Morgan St & Polk St
TA1307000131,Wabash Ave & Wacker Pl
TA1307000134,Wilton Ave & Belmont Ave
TA1307000136,Clark St & Wellington Ave
TA1307000138,Lincoln Ave & Roscoe St
TA1307000139,MLK Jr Dr & 29th St
TA1307000140,Western Ave & Leland Ave
TA1307000142,Clark St & Drummond Pl
TA1307000143,Sedgwick St & Schiller St
TA1307000144,Wolcott (Ravenswood) Ave & Montrose Ave
TA1307000149,Ravenswood Ave & Irving Park Rd
TA1307000150,Pine Grove Ave & Waveland Ave
TA1307000151,Wells St & Hubbard St
TA1307000153,Emerald Ave & 28th St
TA1307000156,Lincoln Ave & Sunnyside Ave
TA1307000158,Damen Ave & Leland Ave
TA1307000159,Paulina St & 18th St
TA1307000160,Prairie Ave & Garfield Blvd
TA1307000161,Halsted St & 37th St
TA1307000163,Clifton Ave & Armitage Ave
TA1307000164,Woodlawn Ave & 55th St
TA1307000166,Halsted St & Willow St
TA1308000001,Theater on the Lake
TA1308000002,Greenwood Ave & 47th St
TA1308000005,Leavitt St & North Ave
TA1308000006,Damen Ave & Grand Ave
TA1308000007,MLK Jr Dr & 47th St
TA1308000009,Shore Dr & 55th St
TA1308000012,Montrose Harbor
TA1308000013,Halsted St & Archer Ave
TA1308000014,Normal Ave & Archer Ave
TA1308000019,Racine Ave & Belmont Ave
TA1308000021,Winthrop Ave & Lawrence Ave
TA1308000022,Pine Grove Ave & Irving Park Rd
TA1308000023,Cottage Grove Ave & 43rd St
TA1308000026,Wentworth Ave & 24th St (Temp)
TA1308000029,Stetson Ave & South Water St
TA1308000031,Logan Blvd & Elston Ave
TA1308000035,Lake Park Ave & 47th St
TA1308000036,Indiana Ave & 31st St
TA1308000038,Cottage Grove Ave & Oakwood Blvd
TA1308000043,Halsted St & 35th St
TA1308000045,Wallace St & 35th St
TA1308000046,Morgan St & 31st St
TA1308000047,Southport Ave & Clark St
TA1308000049,Wells St & Evergreen Ave
TA1308000050,Wells St & Concord Ln
TA1309000001,Halsted St & Maxwell St
TA1309000002,Michigan Ave & Jackson Blvd
TA1309000003,Western Ave & 24th St
TA1309000004,LaSalle St & Jackson Blvd
TA1309000006,Larrabee St & Armitage Ave
TA1309000007,Franklin St & Monroe St
TA1309000008,Franklin St & Adams St (Temp)
TA1309000010,Wabash Ave & 9th St
TA1309000011,Ellis Ave & 58th St
TA1309000012,Damen Ave & Sunnyside Ave
TA1309000014,Clark St & Leland Ave
TA1309000015,Leavitt St & Lawrence Ave
TA1309000018,Ravenswood Ave & Berteau Ave
TA1309000019,Lakeview Ave & Fullerton Pkwy
TA1309000021,Paulina St & Montrose Ave
TA1309000023,Sheffield Ave & Wrightwood Ave
TA1309000024,Clark St & Schiller St
TA1309000025,Halsted St & Roscoe St
TA1309000026,Lincoln Ave & Belle Plaine Ave
TA1309000027,Sheridan Rd & Buena Ave
TA1309000029,Leavitt St & Armitage Ave
TA1309000030,Southport Ave & Clybourn Ave
TA1309000032,Elston Ave & Wabansia Ave
TA1309000033,Sheffield Ave & Webster Ave
TA1309000035,Clark St & Winnemac Ave
TA1309000036,Burling St & Diversey Pkwy
TA1309000037,Kimbark Ave & 53rd St
TA1309000039,DuSable Lake Shore Dr & Diversey Pkwy
TA1309000039,Lake Shore Dr & Diversey Pkwy
TA1309000041,Sheridan Rd & Lawrence Ave
TA1309000042,Lincoln Ave & Belmont Ave
TA1309000043,Southport Ave & Irving Park Rd
TA1309000049,DuSable Lake Shore Dr & Belmont Ave
TA1309000049,Lake Shore Dr & Belmont Ave
TA1309000050,Lincoln Ave & Addison St
TA1309000051,Commercial Ave & 83rd St
TA1309000053,Cottage Grove Ave & 47th St
TA1309000055,Emerald Ave & 31st St
TA1309000058,Lincoln Ave & Fullerton Ave
TA1309000059,Racine Ave & Wrightwood Ave
TA1309000061,Halsted St & Wrightwood Ave
TA1309000063,Lake Park Ave & 56th St
TA1309000064,Wolcott Ave & Polk St
TA1309000066,Ravenswood Ave & Lawrence Ave
TA1309000067,Cottage Grove Ave & 51st St
Throop/Hastings Mobile Station,Throop/Hastings Mobile Station
WL-008,Clinton St & Roosevelt Rd
WL-008,NULL
WL-011,Jefferson St & Monroe St
WL-012,Clinton St & Washington Blvd
